来源文件,用户ID,交易单号,账户假名,账户真实姓名,借贷类型,资金方向_按账户,交易业务类型,交易用途类型,原始交易时间,映射案情时间,时间映射规则,时间映射说明,交易金额_元,账户余额_元,对手方ID,对手假名,对手真实姓名,对手侧银行名称,备注,是否案件映射人物,是否案件核心对手方
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,12.0,张三,王静,入,收入,快捷支付,转账,2023-09-15 22:18:00,2008-08-17 01:18:40,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,32,105,4xydmn0315,陈三一,王静,福建农信银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,13.0,张三,王静,入,收入,快捷支付,转账,2023-09-15 22:18:00,2008-08-17 01:18:40,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,11,116,4xydmn0315,陈三一,王静,福建农信银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,14.0,张三,王静,入,收入,快捷支付,转账,2023-09-15 22:19:00,2008-08-17 01:18:42,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,53,169,4xydmn0315,陈三一,王静,福建农信银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,15.0,张三,王静,入,收入,快捷支付,转账,2023-09-15 22:19:00,2008-08-17 01:18:42,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,60,229,4xydmn0315,陈三一,王静,福建农信银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,16.0,张三,王静,入,收入,快捷支付,转账,2023-09-15 22:19:00,2008-08-17 01:18:42,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,25,254,4xydmn0315,陈三一,王静,福建农信银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,17.0,张三,王静,入,收入,快捷支付,转账,2023-09-15 22:19:00,2008-08-17 01:18:42,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,30,284,4xydmn0315,陈三一,王静,福建农信银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,18.0,张三,王静,入,收入,快捷支付,转账,2023-09-15 22:19:00,2008-08-17 01:18:42,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,60,344,4xydmn0315,陈三一,王静,福建农信银行,微信红包；恭喜发财，大吉大利,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,19.0,张三,王静,入,收入,快捷支付,转账,2023-09-15 22:19:00,2008-08-17 01:18:42,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,33,377,4xydmn0315,陈三一,王静,福建农信银行,微信红包；恭喜发财，大吉大利,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,20.0,张三,王静,入,收入,快捷支付,转账,2023-09-15 22:19:00,2008-08-17 01:18:42,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,30,407,4xydmn0315,陈三一,王静,福建农信银行,微信红包；恭喜发财，大吉大利,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,21.0,张三,王静,入,收入,快捷支付,转账,2023-09-15 22:21:00,2008-08-17 01:18:46,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,94,501,4xydmn0315,陈三一,王静,福建农信银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,22.0,张三,王静,入,收入,快捷支付,转账,2023-09-15 22:22:00,2008-08-17 01:18:48,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,13,514,4xydmn0315,陈三一,王静,福建农信银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,23.0,张三,王静,入,收入,快捷支付,转账,2023-09-15 22:45:00,2008-08-17 01:19:33,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,39,553,4xydmn0315,陈三一,王静,福建农信银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,24.0,张三,王静,入,收入,快捷支付,转账,2023-09-15 22:45:00,2008-08-17 01:19:33,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,72,625,4xydmn0315,陈三一,王静,福建农信银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,25.0,张三,王静,入,收入,快捷支付,转账,2023-09-15 22:45:00,2008-08-17 01:19:33,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,39,664,4xydmn0315,陈三一,王静,福建农信银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,26.0,张三,王静,入,收入,快捷支付,转账,2023-09-15 22:45:00,2008-08-17 01:19:33,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,32,696,4xydmn0315,陈三一,王静,福建农信银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,27.0,张三,王静,入,收入,快捷支付,转账,2023-09-16 00:37:00,2008-08-17 01:23:12,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,29,725,4xydmn0315,陈三一,王静,福建农信银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,28.0,张三,王静,入,收入,快捷支付,转账,2023-09-16 00:37:00,2008-08-17 01:23:12,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,32,757,4xydmn0315,陈三一,王静,福建农信银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,31.0,张三,王静,入,收入,快捷支付,转账,2023-09-22 13:13:00,2008-08-17 06:29:56,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,40,108,s3ns3n-3343,罗宇,王静,农业银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,32.0,张三,王静,入,收入,快捷支付,转账,2023-09-22 13:13:00,2008-08-17 06:29:56,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,45,153,s3ns3n-3343,罗宇,王静,农业银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,33.0,张三,王静,入,收入,快捷支付,转账,2023-09-22 13:13:00,2008-08-17 06:29:56,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,30,183,s3ns3n-3343,罗宇,王静,农业银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,34.0,张三,王静,入,收入,快捷支付,转账,2023-09-22 13:13:00,2008-08-17 06:29:56,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,15,198,s3ns3n-3343,罗宇,王静,农业银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,36.0,张三,王静,入,收入,快捷支付,转账,2023-09-22 22:19:00,2008-08-17 06:47:46,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,39,39,4xydmn0315,陈三一,王静,福建农信银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,37.0,张三,王静,入,收入,快捷支付,转账,2023-09-22 22:21:00,2008-08-17 06:47:50,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,167,206,4xydmn0315,陈三一,王静,福建农信银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,38.0,张三,王静,入,收入,余额支付,转账,2023-09-23 01:22:00,2008-08-17 06:53:44,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,30,236,s3ns3n-3343,罗宇,王静,,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,39.0,张三,王静,入,收入,快捷支付,转账,2023-10-05 00:28:00,2008-08-17 16:16:05,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,15,251,s3ns3n-3343,罗宇,王静,农业银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,40.0,张三,王静,入,收入,快捷支付,转账,2023-10-06 22:42:00,2008-08-17 17:46:39,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,15,266,s3ns3n-3343,罗宇,王静,农业银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,41.0,张三,王静,入,收入,快捷支付,转账,2023-10-06 22:42:00,2008-08-17 17:46:39,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,40,306,s3ns3n-3343,罗宇,王静,农业银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,42.0,张三,王静,入,收入,快捷支付,转账,2023-10-06 22:53:00,2008-08-17 17:47:01,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,15,321,s3ns3n-3343,罗宇,王静,农业银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,43.0,张三,王静,入,收入,快捷支付,转账,2023-10-06 22:56:00,2008-08-17 17:47:06,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,40,361,s3ns3n-3343,罗宇,王静,农业银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,44.0,张三,王静,入,收入,快捷支付,转账,2023-10-06 23:52:00,2008-08-17 17:48:56,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,15,376,s3ns3n-3343,罗宇,王静,农业银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,45.0,张三,王静,入,收入,快捷支付,转账,2023-10-06 23:52:00,2008-08-17 17:48:56,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,100,476,s3ns3n-3343,罗宇,王静,农业银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,46.0,张三,王静,入,收入,快捷支付,转账,2023-10-06 23:57:00,2008-08-17 17:49:06,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,15,491,s3ns3n-3343,罗宇,王静,农业银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,48.0,张三,王静,入,收入,快捷支付,转账,2023-10-13 22:57:00,2008-08-17 23:16:12,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,55,55,s3ns3n-3343,罗宇,王静,农业银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,49.0,张三,王静,入,收入,快捷支付,转账,2023-10-13 22:57:00,2008-08-17 23:16:12,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,30,85,s3ns3n-3343,罗宇,王静,农业银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,50.0,张三,王静,入,收入,快捷支付,转账,2023-10-27 22:48:00,2008-08-18 10:14:03,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,40,125,s3ns3n-3343,罗宇,王静,农业银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,51.0,张三,王静,入,收入,快捷支付,转账,2023-10-27 22:50:00,2008-08-18 10:14:07,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,45,170,s3ns3n-3343,罗宇,王静,农业银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,52.0,张三,王静,入,收入,快捷支付,转账,2023-10-27 22:51:00,2008-08-18 10:14:09,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,15,185,s3ns3n-3343,罗宇,王静,农业银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,53.0,张三,王静,入,收入,快捷支付,转账,2023-11-03 23:23:00,2008-08-18 15:44:16,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,55,240,s3ns3n-3343,罗宇,王静,湖南农信,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,54.0,张三,王静,入,收入,快捷支付,转账,2023-11-03 23:23:00,2008-08-18 15:44:16,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,15,255,s3ns3n-3343,罗宇,王静,湖南农信,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,55.0,张三,王静,入,收入,快捷支付,转账,2023-11-04 08:56:00,2008-08-18 16:02:58,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,40,295,s3ns3n-3343,罗宇,王静,湖南农信,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,56.0,张三,王静,入,收入,快捷支付,转账,2023-11-13 23:26:00,2008-08-18 23:34:27,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,75,370,s3ns3n-3343,罗宇,王静,农业银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,58.0,张三,王静,入,收入,快捷支付,转账,2023-11-18 21:37:00,2008-08-19 03:25:57,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,30,30,s3ns3n-3343,罗宇,王静,农业银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,59.0,张三,王静,入,收入,余额支付,转账,2023-12-02 22:03:00,2008-08-19 14:24:56,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,15,45,s3ns3n-3343,罗宇,王静,,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,61.0,张三,王静,入,收入,余额支付,转账,2023-12-09 20:11:00,2008-08-19 19:50:20,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,15,30,s3ns3n-3343,罗宇,王静,,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,63.0,张三,王静,入,收入,快捷支付,转账,2023-12-22 22:28:00,2008-08-20 06:05:56,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,15,23,s3ns3n-3343,罗宇,王静,农业银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,64.0,张三,王静,入,收入,快捷支付,转账,2023-12-22 22:28:00,2008-08-20 06:05:56,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,15,38,s3ns3n-3343,罗宇,王静,邮储银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,65.0,张三,王静,入,收入,快捷支付,转账,2023-12-22 22:38:00,2008-08-20 06:06:16,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,245,283,s3ns3n-3343,罗宇,王静,邮储银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,66.0,张三,王静,入,收入,快捷支付,转账,2023-12-22 22:45:00,2008-08-20 06:06:30,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,15,298,s3ns3n-3343,罗宇,王静,邮储银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,67.0,张三,王静,入,收入,快捷支付,转账,2023-12-22 22:46:00,2008-08-20 06:06:31,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,15,313,s3ns3n-3343,罗宇,王静,邮储银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,68.0,张三,王静,入,收入,余额支付,转账,2023-12-30 00:53:00,2008-08-20 11:39:44,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,15,328,s3ns3n-3343,罗宇,王静,,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,70.0,张三,王静,出,支出,余额支付,转账,2024-01-01 14:25:00,2008-08-15 00:00:00,R2,映射为通过何晓初收受、转移或关联处理好处费的期间。,14,265,zlzjl2525,曾黎,杨周武之妻何晓初,,微信转账；扫二维码付款-给威旺图文广告,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,71.0,张三,王静,入,收入,快捷支付,转账,2024-01-06 00:10:00,2008-08-20 17:07:24,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,40,305,s3ns3n-3343,罗宇,王静,农业银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,73.0,张三,王静,入,收入,余额支付,转账,2024-01-19 22:54:00,2008-08-21 04:03:03,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,15,305,s3ns3n-3343,罗宇,王静,,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,81.0,张三,王静,入,收入,其它支付,转账,2024-02-02 22:40:00,2008-08-21 15:00:44,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,150,171,s3ns3n-3343,罗宇,王静,兴业银行广州分行,零钱通支付/转账（腾安代销）,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,82.0,张三,王静,入,收入,余额支付,转账,2024-02-02 22:44:00,2008-08-21 15:00:52,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,15,186,s3ns3n-3343,罗宇,王静,,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,83.0,张三,王静,出,支出,快捷支付,转账,2024-02-10 00:36:00,2008-08-16 17:15:51,R2,映射为通过何晓初收受、转移或关联处理好处费的期间。,200,0,Vns_JOJOD3,周芷,杨周武之妻何晓初,,微信红包；恭喜发财，大吉大利,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,84.0,张三,王静,入,收入,快捷支付,转账,2024-03-08 22:31:00,2008-08-22 18:25:47,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,15,201,s3ns3n-3343,罗宇,王静,农业银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,85.0,张三,王静,入,收入,快捷支付,转账,2024-03-08 22:40:00,2008-08-22 18:26:04,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,70,271,s3ns3n-3343,罗宇,王静,农业银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,86.0,张三,王静,入,收入,快捷支付,转账,2024-03-08 22:56:00,2008-08-22 18:26:36,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,40,311,s3ns3n-3343,罗宇,王静,农业银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,88.0,张三,王静,入,收入,快捷支付,转账,2024-03-09 21:55:00,2008-08-22 19:11:37,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,15,276,s3ns3n-3343,罗宇,王静,农业银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,89.0,张三,王静,入,收入,快捷支付,转账,2024-03-09 21:55:00,2008-08-22 19:11:37,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,55,331,s3ns3n-3343,罗宇,王静,农业银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,93.0,张三,王静,入,收入,快捷支付,转账,2024-03-22 22:51:00,2008-08-23 05:24:34,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,15,40,s3ns3n-3343,罗宇,王静,农业银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,94.0,张三,王静,入,收入,快捷支付,转账,2024-04-19 23:50:00,2008-08-24 03:22:46,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,40,80,s3ns3n-3343,罗宇,王静,农业银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,95.0,张三,王静,入,收入,快捷支付,转账,2024-04-19 23:51:00,2008-08-24 03:22:48,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,40,120,s3ns3n-3343,罗宇,王静,农业银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,96.0,张三,王静,入,收入,快捷支付,转账,2024-04-19 23:51:00,2008-08-24 03:22:48,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,15,135,s3ns3n-3343,罗宇,王静,农业银行,微信转账,True,True
data\数据样本1\数据包\数据样本1-微信\交易明细\IDCARD\110108199807051211\tom123\TenpayTrades.xls,tom123,97.0,张三,王静,入,收入,快捷支付,转账,2024-04-20 00:00:00,2008-08-24 03:23:05,R1,映射为王静等人筹集赔偿、请托调解并推动免予刑责的期间。,15,150,s3ns3n-3343,罗宇,王静,农业银行,微信转账,True,True
